,uid_connection,index,uid,AuthorOriginal,Description,AuthorBirth,path,BeginDate,ImageURL,City,Country,AuthorBirthCity,AuthorDeathCity,Drawer,Type,img1,img2,type,annotated,cluster_file,cluster,set,new_cluster,new set,old_cluster
0,002275ab17774b55a2d88d7a773b2d93,4881.0,4e6e928899224c9b8e5d15e37e211fe3,"YÁÑEZ DE LA ALMEDINA, Fernando",Madonna and Child with Infant St John,(active 1505-36),../data/WGA/images/y/yanez/madonna.jpg,1500.0,http://www.wga.hu/html/y/yanez/madonna.html,,Spanish,,,,religious,a2b4fec1607143d4ad4214b48bab69d6,4e6e928899224c9b8e5d15e37e211fe3,POSITIVE,2016-05-30 13:17:33+00:00,Original,115,train,115,train,118.0
1,002ca9c06a704c779e69d93cb4fadaa3,5465.0,45588b4e33444ed8b34c523bac808bc4,TIZIANO (copia da -),S.Mariá Maddalena. cm. 123 x 91,1483.0,../data/158B/158B_556.jpg,1560.0,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F158B%2F158B_556.jpg/full/full/0/default.jpg,MONACO,Italian,Belluno,Venice,158B,religious,45588b4e33444ed8b34c523bac808bc4,da54c106180449d1a52993e9a5bc17fd,POSITIVE,2018-07-24 14:58:44.559049+00:00,Original,33,train,33,train,50.0
2,0038ab462149452b98a4d7359a06f9f4,15245.0,ae828b07e4284d80b652206ffb77278a,TIZIANO (copia da -),"Morte di S. Pietro Martire. mm. 123,8 x 84,2",1483.0,../data/158C/158C_120.jpg,1641.0,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F158C%2F158C_120.jpg/full/full/0/default.jpg,CAMBRID GE,Italian,Belluno,Venice,158C,religious,ae828b07e4284d80b652206ffb77278a,ea64207684694d379579998f88b7c29a,POSITIVE,2018-07-16 09:47:57.987515+00:00,Original,50,test,50,test,51.0
3,00474897de044f7fb1ef16888dc198f3,11203.0,76b2c4aeab404bc79768117e3ddc62b1,"BELLINI, Giovanni (cerchia di -)",Pietà.,1431.0,../data/47A/47A_858.jpg,1449.0,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F47A%2F47A_858.jpg/full/full/0/default.jpg,UBICAZIONE IGNOTA,,Venice,Venice,47A,,76b2c4aeab404bc79768117e3ddc62b1,b8dd2c0c2c7146e68e5bbb0aaf6cf803,POSITIVE,2018-03-14 10:46:45.603341+00:00,Original,490,val,490,val,498.0
4,008b01e279594f0eae9419cf52f6262b,15308.0,b03f0d316b824923a52e79688ba7e1b7,"ALBANI, Francesco",Diana and Actaeon,"(b. 1578, Bologna, d. 1660, Bologna)",../data/WGA/images/a/albani/1/dianacte.jpg,1612.0,http://www.wga.hu/html/a/albani/1/dianacte.html,,Italian,,,,mythological,b03f0d316b824923a52e79688ba7e1b7,2264411f35ed4fa18a4962413c13f529,POSITIVE,2016-09-13 15:43:39+00:00,Original,237,train,237,train,242.0
5,009c03c265b8418495da038bc3826bf7,13808.0,c5839e5220e5419e92d878396b0c04bb,SEC. XVI ex.,Un soffitto. Part.: Leda e il cigno.,"(b. 1511, Settignano, d. 1592, Firenze)",../data/135C/135C_57.jpg,1550.0,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F135C%2F135C_57.jpg/full/full/0/default.jpg,FIRENZE,Italian,,,135C,mythological,450ee2aceb014709b23a93e1163937c5,c5839e5220e5419e92d878396b0c04bb,POSITIVE,2018-05-07 08:28:11.797723+00:00,Original,71,train,71,val,92.0
6,00aeddb93a8a4120aa984eda6c822747,6256.0,4d02860f58f2443ba4d1ef088756f854,"BASSANO, Leandro.","La preparazione del pranzo. cm. 88,3 x 102,9",1557.0,../data/21C/21C_228.jpg,1575.0,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F21C%2F21C_228.jpg/full/full/0/default.jpg,LONDR A,,Bassano del Grappa,Venice,21C,,4d02860f58f2443ba4d1ef088756f854,27bad0f213a342c3987e8cec61e40550,POSITIVE,2018-03-23 15:41:53.094226+00:00,Original,213,train,213,train,218.0
7,00b68f36ea6245b583e40248555b0e89,593.0,06d37d5e06ce4b40b583c1cb6d7f68b2,RAFT AELLO (scuola di-).,La Sacra Famiglia.,1483.0,../data/157A/157A_49.jpg,1501.0,https://dhlabsrv4.epfl.ch/iiif_replica/cini%2F157A%2F157A_49.jpg/full/full/0/default.jpg,PARIGI,,Urbino,Rome,157A,,06d37d5e06ce4b40b583c1cb6d7f68b2,b91c9e7b758249bfaa60046166560783,POSITIVE,2018-05-05 17:18:33.544849+00:00,Original,723,train,723,train,734.0
8,00b8b50503bd4ddb8db26c4e85a18035,7989.0,58908f6a22dd4e9cace587fb7b4ba56a,"COUSIN, Jean the Elder",Eva Prima Pandora,"(b. ca. 1495, Soucy, d. ca. 1560, Paris)",../data/WGA/images/c/cousin/jean_e/evaprima.jpg,1545.0,http://www.wga.hu/html/c/cousin/jean_e/evaprima.html,R O M A,French,Castelfranco Veneto,Venice,51A,mythological,58908f6a22dd4e9cace587fb7b4ba56a,5d8f20bce78042758a75931c70aaa615,POSITIVE,2016-05-17 16:24:53+00:00,Original,71,val,71,val,72.0
9,00c1e40ce6db4e9989e7acab8810b0cf,5243.0,406a36c78eb24b289871c117e61cdafb,CANALETTO,Riva degli Schiavoni: Looking East,"(b. 1697, Venezia, d. 1768, Venezia)",../data/WGA/images/c/canalett/3/canal303.jpg,1730.0,http://www.wga.hu/html/c/canalett/3/canal303.html,,Italian,,,,landscape,406a36c78eb24b289871c117e61cdafb,3b929f6ff1ef4c5d9c5bf4b2251591c8,POSITIVE,2017-08-12 15:34:16.420995+00:00,Original,414,val,414,val,420.0
